IPC,L2C TOTAL_MPKI,L1I TOTAL_MPKI,L1D TOTAL_MPKI,ITLB TOTAL_MPKI,DTLB TOTAL_MPKI,STLB TOTAL_MPKI,LLC TOTAL_MPKI,File
0.312505,6.7286,53.459,19.7649,10.2656,9.22884,0.04911,0.044225,srv_26.txt
0.464729,14.863,25.0763,12.1736,3.94903,12.8782,1.72136,1.51641,srv_6.txt
0.502633,32.9089,45.295,33.9481,7.67502,7.56815,0.399875,31.4589,srv_36.txt
0.418222,13.2799,23.7205,12.0977,4.45493,5.23739,0.422295,1.9533,srv_51.txt
0.330631,7.10978,49.5148,20.0443,9.4908,9.26934,0.046485,0.06061,srv_12.txt
0.351534,14.8921,32.1157,14.2698,6.31199,6.27864,0.46118,0.73247,srv_53.txt
0.429752,10.23,24.9519,12.9928,6.58415,6.18591,0.260645,2.06506,srv_46.txt
0.634451,0.99597,28.5116,0.908055,7.9515,3.3898,0.01757,0.646985,server_014.txt
0.498804,33.0287,45.2552,33.9937,7.65623,7.64199,0.391555,31.6889,srv_76.txt
0.527766,3.69257,16.1161,13.0025,2.69114,5.92622,0.086775,2.40707,client_007.txt
0.566879,0.36003,71.6771,0.36599,9.23802,4.57496,0.007335,0.221875,server_036.txt
0.482166,32.858,44.6065,33.4551,7.46267,7.84748,0.612685,31.348,server_020.txt
0.717468,2.54925,3.16264,2.56834,0.529665,8.99273,0.43547,1.37166,srv_28.txt
0.254073,13.5575,65.7686,28.5178,13.7391,12.2882,0.54053,1.37852,srv_45.txt
0.305343,5.89867,55.8936,28.2121,11.0051,10.4741,0.27069,0.602735,server_029.txt
0.407505,18.1696,24.3413,12.5348,3.8064,11.8741,2.12957,1.64923,server_011.txt
0.377956,4.2539,62.9063,12.2511,10.1307,8.50561,0.082385,0.33681,server_033.txt
0.355091,7.73396,3.46254,66.9839,0.70056,42.551,0.489855,6.45104,srv_9.txt
0.298005,3.9724,61.0081,22.0173,12.1334,9.86392,0.00645,0.004695,srv_16.txt
0.385592,1.31723,62.9755,11.6857,10.1618,7.93743,0.013485,0.02573,server_034.txt
0.656544,9.27703,6.34211,11.8654,1.32745,1.57263,0.238815,7.92351,srv_40.txt
0.350252,3.86854,63.9321,12.2108,10.2213,8.61312,0.17007,3.04502,server_035.txt
0.424829,19.3673,25.8239,12.5034,4.0192,12.7521,2.27764,1.25665,srv_0.txt
0.503462,32.7124,45.6485,33.7416,7.71077,7.54779,0.381235,31.3714,srv_34.txt
0.416366,19.529,26.2724,12.636,4.11347,12.7571,2.32129,1.37772,server_013.txt
0.438263,17.4982,25.4658,12.3778,4.09023,11.8308,2.12835,1.56872,srv_7.txt
0.466515,14.6075,25.1088,12.0549,3.96569,12.8938,1.63362,1.52534,srv_67.txt
0.630892,3.51175,8.98425,4.57978,2.19496,3.07017,0.16424,0.95122,client_002.txt
0.466935,15.0837,25.5222,12.2012,4.01355,11.7451,1.57144,1.41112,srv_65.txt
0.444583,10.6454,21.3977,11.1127,5.20544,5.28122,0.43947,2.38223,srv_49.txt
0.720196,2.42693,3.19185,2.4207,0.53352,9.04458,0.433065,1.24917,srv_31.txt
0.646677,2.18657,9.6805,4.43863,2.60026,3.25714,0.00269,0.0017,srv_58.txt
0.344041,13.1639,17.1107,61.802,2.69738,44.9331,1.57112,0.96255,srv_11.txt
0.420854,19.4032,26.0549,12.5889,4.11016,12.7141,2.28947,1.3237,srv_61.txt
0.449881,5.39942,21.4894,18.5342,4.99641,15.2354,0.15569,2.37952,client_008.txt
0.439578,11.9176,21.4025,11.9306,5.24485,5.17635,0.392085,2.99569,srv_48.txt
0.410934,20.6814,26.3265,13.3792,4.12148,12.9059,2.53019,1.29895,srv_60.txt
0.425733,9.90585,25.6586,13.0308,6.7525,6.30188,0.28672,1.90907,srv_47.txt
0.465037,15.1019,25.4865,12.3275,3.97637,12.9495,1.58791,1.52002,srv_4.txt
,,,,,,,,script_for_rename.sh
0.434744,32.5787,42.3136,32.9168,7.0933,8.10923,0.970495,32.8485,server_017.txt
0.307381,4.64403,57.4395,28.188,11.3581,10.2909,0.14556,0.01868,srv_71.txt
0.403351,14.8686,25.5391,13.2418,4.79754,5.0244,0.43145,2.32286,srv_50.txt
0.308134,5.32624,56.4714,27.1363,11.1172,10.0166,0.13717,0.00611,srv_14.txt
,,,,,,,,info_extractor.py
0.435628,33.0316,42.5071,33.6966,7.14782,7.98918,0.84565,33.8431,server_019.txt
0.421353,18.3939,25.2938,12.2336,4.07732,12.3117,2.26572,1.50181,srv_69.txt
0.459088,15.0755,25.5228,12.1083,3.85073,11.9063,1.65504,1.46794,srv_3.txt
0.51638,9.02078,16.4163,8.26501,2.99563,3.12511,0.3895,1.35571,srv_54.txt
0.308148,5.37639,56.7243,24.6294,11.1786,10.5613,0.31075,0.23734,srv_19.txt
0.301654,3.1637,60.6235,21.9047,12.0737,9.85395,0.006115,0.00402,srv_72.txt
0.463599,15.083,25.1923,12.1589,3.96881,12.8432,1.71369,1.52722,srv_66.txt
0.324098,6.30007,49.7613,18.4969,9.55165,8.8425,0.044275,0.35608,server_025.txt
0.714864,2.67872,3.28732,2.68313,0.547285,9.04166,0.437045,1.46689,srv_29.txt
0.613364,6.0652,9.62862,6.80219,1.65075,2.19496,0.07219,3.69304,client_003.txt
0.394115,16.8048,22.4361,28.9829,3.56161,23.5468,2.05138,1.22083,server_009.txt
0.46234,15.2123,25.7573,12.2905,4.03885,13.0662,1.59624,1.45646,srv_5.txt
0.335077,7.77358,48.0783,19.044,9.13976,8.9489,0.056965,0.62669,server_024.txt
0.612195,2.54508,11.2106,5.20298,3.00709,3.52663,0.003675,0.00192,srv_59.txt
0.719015,2.52158,3.21889,2.51704,0.53748,9.03206,0.432645,1.32729,srv_30.txt
0.301461,2.96676,60.6055,21.835,12.071,9.80477,0.00592,0.0205,server_032.txt
0.60398,3.23249,13.1988,6.47558,4.08771,4.49922,0.26548,0.42449,srv_56.txt
0.649916,0.00123,29.9477,0.00255,8.43077,3.7187,2.5,0.00036,server_015.txt
0.35175,15.1374,19.8355,40.7402,3.28187,30.3086,2.02693,1.68864,server_004.txt
0.368115,15.4344,19.2066,13.7773,3.12486,9.32548,1.64719,2.80502,server_003.txt
0.300506,3.36261,60.6553,21.9142,12.0808,9.82949,0.007465,0.00393,srv_17.txt
0.456421,15.1689,25.6464,12.2162,3.87377,12.8378,1.70284,1.47272,srv_62.txt
0.602574,3.75563,12.6251,6.47528,4.19086,4.69922,0.367485,0.80665,srv_57.txt
0.499203,32.7168,45.4011,33.7455,7.6713,7.49197,0.374265,30.2843,server_021.txt
0.335378,16.8032,42.2919,22.5933,8.25389,9.1169,0.593925,0.4155,srv_42.txt
0.307943,6.56856,55.7347,28.5688,10.9349,10.3574,0.27721,0.24754,srv_18.txt
0.546737,5.29873,5.97978,10.2461,1.19741,5.69094,0.079485,2.51119,client_001.txt
0.501244,33.0451,45.646,33.8116,7.71359,7.61873,0.3651,30.9617,server_022.txt
0.505824,32.8175,45.525,33.7544,7.70153,7.585,0.39038,31.0338,srv_39.txt
0.302996,5.15071,57.5072,23.8454,11.3207,10.7226,0.27487,0.62831,server_031.txt
0.7216,2.35045,3.0373,2.33446,0.51147,8.89926,0.42842,1.18769,srv_27.txt
0.312239,7.47296,53.0825,19.8093,10.1684,9.20869,0.041375,0.065415,srv_20.txt
0.429364,19.0611,25.2172,12.6413,3.97169,12.5748,2.31822,1.17192,srv_10.txt
0.305484,5.15721,57.5038,24.6458,11.3171,10.7891,0.277285,0.21465,srv_25.txt
0.261754,14.5312,61.6363,27.8474,12.8551,11.4532,0.506145,2.1197,srv_44.txt
0.310201,4.9437,55.4185,27.8346,10.946,10.4109,0.38208,0.533425,server_028.txt
0.500069,2.73558,77.1925,8.4527,12.4636,9.98114,0.114035,0.384545,server_038.txt
0.583531,9.31878,11.0312,8.3515,2.29306,6.84595,0.75791,3.86867,srv_8.txt
0.506652,3.19085,77.0508,8.36758,12.4323,10.075,0.112175,0.079605,srv_32.txt
0.305783,6.74272,56.0951,26.882,11.0678,10.6445,0.3205,0.46435,srv_73.txt
0.333781,7.64987,48.5513,19.271,9.27944,8.97338,0.04918,0.07588,srv_22.txt
0.595765,8.53714,9.71386,8.03605,2.0866,5.89826,0.588475,4.41208,server_001.txt
0.338683,6.99471,47.3417,18.9918,9.04199,8.88284,0.05442,0.662355,server_023.txt
0.452004,15.6724,25.7226,12.214,3.90289,13.0499,1.778,1.48912,srv_63.txt
,,,,,,,,output.csv
0.334724,7.00603,48.5513,19.2714,9.27945,8.97355,0.04918,0.086365,srv_70.txt
,,,,,,,,client_005.txt
0.465155,15.1279,25.6384,12.2796,4.0038,13.025,1.60014,1.44238,srv_64.txt
0.453629,16.3441,23.8504,11.6952,3.67856,11.9482,1.89093,1.52063,srv_68.txt
0.308749,4.77799,57.0441,27.8395,11.2692,10.1411,0.14673,0.00792,srv_23.txt
0.501498,2.86421,76.6375,8.38504,12.3813,10.0273,0.11398,0.38388,server_037.txt
0.311486,7.61175,53.3605,19.6853,10.2471,9.22627,0.04648,0.024935,srv_74.txt
0.313738,4.93014,57.2194,27.4172,11.2719,10.1944,0.14378,0.00765,srv_15.txt
0.446112,12.8183,22.7762,11.3454,4.21701,4.48223,0.566945,1.69199,srv_55.txt
0.498246,32.8669,45.5273,33.799,7.69155,7.65502,0.39089,31.2208,srv_35.txt
0.665404,0.378275,14.7161,0.34861,4.94399,4.59447,0.006965,0.254755,server_002.txt
0.505078,32.9903,45.2671,33.9341,7.68371,7.61795,0.37604,31.6772,srv_75.txt
0.504887,32.8696,45.5907,33.8043,7.71449,7.58129,0.367855,31.5005,srv_33.txt
0.440664,32.5858,42.2897,32.9996,7.08015,8.03443,0.735,29.9545,server_018.txt
0.306187,5.76084,56.6031,28.2524,11.1386,10.1357,0.145005,0.08791,server_030.txt
0.520404,8.64219,12.2391,13.4558,2.47523,6.23241,0.454525,4.75052,client_006.txt
0.522108,0.012655,77.1558,0.97421,10.7736,5.9109,0.00135,0.01232,server_039.txt
0.436347,12.7096,23.6948,11.7865,4.43053,4.91515,0.50559,1.58123,srv_41.txt
0.342343,13.4873,17.2319,60.6664,2.75163,43.4562,1.62966,1.00207,srv_1.txt
0.338023,15.3638,42.1922,22.4412,8.228,9.05872,0.591815,0.373935,srv_43.txt
0.313929,6.16031,52.8824,19.5855,10.1247,9.1296,0.04091,0.39785,server_027.txt
0.406552,17.9188,23.6858,22.7596,3.7471,19.3408,2.21441,1.18673,server_010.txt
0.429573,18.6517,25.2905,12.4483,4.0271,12.5099,2.28047,1.23063,server_012.txt
0.313289,7.22721,52.6387,20.4317,10.0561,9.18226,0.03959,0.264345,server_026.txt
0.313027,7.17195,53.0722,19.7605,10.1705,9.11517,0.044655,0.054815,srv_21.txt
,,,,,,,,client_004.txt
0.337003,7.07723,48.2042,19.0693,9.19062,8.96795,0.046755,0.170345,srv_13.txt
0.49693,32.9425,45.3811,33.8339,7.6628,7.66855,0.40758,31.5046,srv_37.txt
0.302334,20.7218,42.4987,20.3921,8.20544,8.44599,0.728235,1.62128,srv_52.txt
0.452088,15.3955,25.7415,12.2563,3.89372,12.9708,1.6705,1.63125,srv_2.txt
0.505643,32.8135,45.0051,33.8947,7.62068,7.45193,0.369855,31.4023,srv_38.txt
0.300225,2.81736,61.1451,22.0754,12.1539,9.95289,0.006025,0.004105,srv_24.txt
0.382281,5.18018,36.8761,14.7252,7.05104,6.85429,0.038835,0.46124,server_016.txt
